sepal_length,sepal_width,petal_length,petal_width,species
4.2,2.87,1.45,0.13,Iris-setosa
4.98,3.4,1.33,0.29,Iris-setosa
4.75,2.91,1.63,0.15,Iris-setosa
4.54,2.73,1.51,0.17,Iris-setosa
4.93,3.27,1.56,0.24,Iris-setosa
4.79,2.75,1.46,0.13,Iris-setosa
5.03,3.08,1.66,0.19,Iris-setosa
5.0,3.35,1.92,0.32,Iris-setosa
5.33,3.9,1.36,0.36,Iris-setosa
4.49,3.03,1.38,0.12,Iris-setosa
5.96,4.34,1.65,0.32,Iris-setosa
5.14,3.36,1.45,0.18,Iris-setosa
4.58,3.28,1.34,0.1,Iris-setosa
4.48,3.29,1.15,0.13,Iris-setosa
4.09,3.0,1.19,0.24,Iris-setosa
4.6,3.61,1.68,0.33,Iris-setosa
4.98,3.48,1.39,0.22,Iris-setosa
5.26,3.98,1.47,0.28,Iris-setosa
5.32,3.6,1.65,0.17,Iris-setosa
5.62,3.79,1.23,0.15,Iris-setosa
5.56,3.37,1.54,0.15,Iris-setosa
4.86,3.59,1.49,0.43,Iris-setosa
5.11,3.46,1.37,-0.05,Iris-setosa
4.76,3.1,1.57,0.18,Iris-setosa
5.02,2.95,1.24,0.03,Iris-setosa
5.35,4.11,1.59,0.42,Iris-setosa
4.46,3.1,1.39,0.27,Iris-setosa
4.74,3.59,1.59,0.23,Iris-setosa
5.34,3.26,1.55,0.41,Iris-setosa
5.05,3.63,1.29,0.1,Iris-setosa
4.42,3.06,1.32,0.16,Iris-setosa
5.39,3.67,1.61,0.13,Iris-setosa
4.83,3.26,1.08,0.22,Iris-setosa
5.39,3.42,1.76,0.42,Iris-setosa
4.71,3.32,1.64,0.24,Iris-setosa
5.29,3.4,1.32,0.06,Iris-setosa
4.28,2.69,1.2,0.22,Iris-setosa
4.8,3.3,1.57,0.31,Iris-setosa
4.64,2.89,1.28,-0.13,Iris-setosa
5.41,3.7,1.64,0.25,Iris-setosa
5.12,3.63,1.6,0.26,Iris-setosa
5.05,3.23,1.48,0.27,Iris-setosa
5.22,3.83,1.63,0.06,Iris-setosa
5.26,3.29,1.28,0.25,Iris-setosa
5.07,3.61,1.45,0.2,Iris-setosa
4.97,3.5,0.98,0.45,Iris-setosa
4.94,3.67,1.42,0.19,Iris-setosa
5.16,3.39,1.49,0.38,Iris-setosa
4.68,3.36,1.64,0.23,Iris-setosa
4.91,3.6,1.4,0.22,Iris-setosa
4.46,3.2,1.43,0.16,Iris-setosa
5.13,3.45,1.61,0.19,Iris-setosa
4.71,3.07,1.6,0.29,Iris-setosa
4.65,2.86,0.95,0.07,Iris-setosa
4.95,3.03,1.32,0.29,Iris-setosa
5.22,3.32,1.83,0.29,Iris-setosa
5.28,3.36,1.66,0.44,Iris-setosa
5.09,3.61,1.46,0.18,Iris-setosa
5.07,3.0,1.45,0.23,Iris-setosa
4.95,3.99,1.28,0.28,Iris-setosa
5.09,3.53,1.42,0.39,Iris-setosa
4.66,3.35,1.28,0.38,Iris-setosa
4.88,3.56,1.44,0.37,Iris-setosa
5.19,2.94,1.21,0.19,Iris-setosa
5.1,3.45,1.37,0.2,Iris-setosa
4.33,2.93,1.35,0.16,Iris-setosa
5.63,3.95,1.51,0.31,Iris-setosa
4.68,3.37,1.07,0.24,Iris-setosa
5.07,2.76,1.69,0.34,Iris-setosa
4.83,3.46,1.46,0.13,Iris-setosa
5.14,3.27,1.42,0.16,Iris-setosa
5.04,3.35,1.41,0.07,Iris-setosa
4.31,2.85,1.63,-0.01,Iris-setosa
5.49,3.31,1.79,0.44,Iris-setosa
4.48,2.97,1.31,0.34,Iris-setosa
4.09,2.12,1.29,0.07,Iris-setosa
5.34,3.84,1.75,0.33,Iris-setosa
4.86,3.11,1.6,0.06,Iris-setosa
5.28,3.82,1.46,0.43,Iris-setosa
5.01,3.14,1.44,0.43,Iris-setosa
5.1,3.45,1.51,0.25,Iris-setosa
4.7,3.2,1.25,0.22,Iris-setosa
5.48,3.17,1.87,0.43,Iris-setosa
4.91,3.61,1.49,0.2,Iris-setosa
4.98,3.69,1.48,0.09,Iris-setosa
5.24,3.68,1.68,0.37,Iris-setosa
5.06,3.09,1.49,0.13,Iris-setosa
5.4,3.47,1.59,0.37,Iris-setosa
4.55,3.14,1.67,0.3,Iris-setosa
4.48,3.07,1.47,0.15,Iris-setosa
4.31,2.84,1.28,0.13,Iris-setosa
4.87,3.56,1.71,0.41,Iris-setosa
5.58,4.26,1.54,0.41,Iris-setosa
5.4,4.01,1.17,0.24,Iris-setosa
4.66,3.28,1.56,0.21,Iris-setosa
5.73,3.71,1.45,0.21,Iris-setosa
5.19,3.74,1.44,0.26,Iris-setosa
5.11,3.26,1.48,0.26,Iris-setosa
5.33,3.52,1.55,0.3,Iris-setosa
5.03,3.72,1.44,0.21,Iris-setosa
4.6,2.71,1.46,0.05,Iris-setosa
4.55,3.18,1.34,0.11,Iris-setosa
5.32,3.99,1.46,0.45,Iris-setosa
5.17,3.52,1.45,0.3,Iris-setosa
5.06,3.24,1.59,0.24,Iris-setosa
4.96,2.91,1.46,0.08,Iris-setosa
5.05,3.59,1.73,0.34,Iris-setosa
4.87,3.35,1.37,0.07,Iris-setosa
5.17,3.84,1.6,0.37,Iris-setosa
5.49,4.12,1.7,0.22,Iris-setosa
5.29,4.14,1.3,0.24,Iris-setosa
4.92,3.1,1.27,0.39,Iris-setosa
5.79,3.99,1.61,0.24,Iris-setosa
5.0,3.82,1.45,0.28,Iris-setosa
4.97,3.63,1.39,0.31,Iris-setosa
4.99,3.19,1.59,0.16,Iris-setosa
5.74,3.63,1.5,0.24,Iris-setosa
4.88,3.87,1.27,0.32,Iris-setosa
5.08,3.63,1.51,0.12,Iris-setosa
4.47,2.87,1.33,-0.03,Iris-setosa
5.6,3.82,1.38,0.07,Iris-setosa
5.55,4.06,1.7,0.37,Iris-setosa
4.85,2.83,1.26,0.16,Iris-setosa
5.04,3.7,1.3,0.35,Iris-setosa
4.3,3.0,1.22,0.21,Iris-setosa
5.08,3.19,1.77,0.29,Iris-setosa
5.12,4.03,1.47,0.04,Iris-setosa
4.43,3.2,1.56,0.17,Iris-setosa
5.05,3.06,1.58,0.22,Iris-setosa
5.28,3.4,1.49,0.05,Iris-setosa
5.22,3.14,1.39,0.18,Iris-setosa
5.2,3.65,1.04,0.13,Iris-setosa
4.51,3.4,1.3,0.26,Iris-setosa
4.77,3.09,1.13,0.18,Iris-setosa
4.96,3.5,1.62,0.25,Iris-setosa
4.99,3.13,1.43,0.24,Iris-setosa
5.69,3.82,1.49,0.4,Iris-setosa
4.94,3.68,1.62,0.26,Iris-setosa
4.93,3.16,1.52,0.16,Iris-setosa
4.72,3.11,1.5,0.22,Iris-setosa
5.03,3.21,1.55,0.07,Iris-setosa
5.36,3.81,1.4,0.48,Iris-setosa
5.08,4.02,1.64,0.17,Iris-setosa
5.12,3.44,1.23,0.26,Iris-setosa
5.03,3.74,1.47,0.23,Iris-setosa
5.17,3.69,1.61,0.23,Iris-setosa
5.01,3.61,1.34,0.18,Iris-setosa
4.9,3.71,1.63,0.36,Iris-setosa
5.28,3.23,1.5,0.25,Iris-setosa
4.67,3.01,1.42,0.17,Iris-setosa
4.85,3.31,1.49,0.34,Iris-setosa
